SQGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,
SQGDP2 Gross domestic product (GDP) by state 1,,,,,,,,,,,,,,,,,,,
State or DC,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4
53000,Washington,25,          Nondurable goods manufacturing,14706.4,13347.1,14361,14848.3,15184,16490.6,17326.2,18800,19382.7,20677.6,20942,21332.3,20949.3,20611.6,21201.3,21073.1
53000,Washington,34,      Wholesale trade,31673.4,28923.2,32728.3,32954.2,34195.3,34524.8,33966.6,35933.7,38522,38896.9,39449,39764.9,40188.1,40610.7,41519.9,40767
53000,Washington,35,      Retail trade,60194.2,61096.5,69704,67906.4,72288.1,76974.6,73617.4,76865.5,75346.1,76413,79710.2,79964.5,82406.8,83416.4,84978.6,88351.5
53000,Washington,36,      Transportation and warehousing,16729.6,13186.3,14113,15013,15705.2,17540.9,18612.9,19740,20898.4,22010.7,22693.3,23812.7,24222,24507.5,24903.3,25137.3
53000,Washington,45,      Information,92036.3,95335.2,106856.1,103840.7,108378.3,110209,108494.8,110170.3,106450.9,107409.2,109380.2,115877.5,115252.5,125955.7,128582.8,135977.2
53000,Washington,51,      Finance and insurance,22591.8,24148.1,24997.8,25976.5,26061.4,25939.1,26153.3,27231.2,26944,27138.9,26455.2,26451.6,26542.4,25914.9,26327,25760.9
53000,Washington,56,      Real estate and rental and leasing,78330.7,77054,80562.3,81501,83836.3,86001.1,87845.3,91963.5,94106.1,96453.6,98419,100778.7,103442.5,105264.6,107211.8,108484.4
53000,Washington,60,"      Professional, scientific, and technical services",42742.6,40581.8,43172.7,44544.5,47671,50674.3,52319.8,53555.4,55249.6,55965.8,57110.8,58446.4,63608.5,62301.9,63613.3,65526.2
53000,Washington,64,      Management of companies and enterprises,7141.5,7500.8,7116.4,7250.1,7714.3,7509.4,7929.8,7808.2,8108.8,7286.5,9271.9,9210.6,9213,9273.5,9635.8,9998.3
53000,Washington,65,      Administrative and support and waste management and remediation services,16840.5,14679.9,16132.3,16434.3,17660.5,17819.6,18344.7,19498.7,20367,20444.6,20893,21102.2,21270.7,21785.2,22080.9,22927.2
53000,Washington,69,      Educational services,3417.2,2846.7,3100.4,3069.5,3268.6,3351,3515.9,3575.7,3738,3716.4,3832.3,3977.5,3927.9,4013.8,3989.5,4090.2
53000,Washington,70,      Health care and social assistance,37866.4,32629.8,38927.3,38616.4,39674.8,39784,39490.3,40552.5,41468.4,42313.5,42895.4,43774.8,45566.6,45729.4,47706.6,48060.7
53000,Washington,76,"      Arts, entertainment, and recreation",5234.5,2173.9,3149,3751,4050.3,4404.5,5036.8,5415.2,5127.3,5150,5716.9,6112.5,6358.7,6263.8,6150.5,6391.3
53000,Washington,79,      Accommodation and food services,16573.7,9435.8,13253.8,12464.4,13622.6,16978.2,19028.3,19243.6,19755.9,20250,20691.1,21236.9,23103.8,23410.2,23872.2,23815.5
